"score" "state" "race"
223 "0" "1"
214 "0" "1"
147 "0" "1"
251 "0" "3"
190 "0" "1"
274 "0" "3"
137 "0" "3"
236 "0" "1"
262 "0" "1"
179 "0" "1"
301 "0" "1"
267 "0" "1"
356 "0" "1"
295 "0" "1"
331 "0" "1"
258 "0" "1"
183 "0" "1"
307 "0" "2"
237 "0" "1"
274 "0" "1"
230 "0" "3"
277 "0" "1"
272 "0" "1"
213 "0" "1"
365 "0" "1"
253 "0" "1"
220 "0" "1"
212 "0" "1"
306 "0" "1"
168 "0" "1"
254 "0" "1"
248 "0" "1"
261 "0" "1"
344 "0" "1"
238 "0" "1"
301 "0" "1"
295 "0" "1"
15 "0" "1"
311 "0" "1"
299 "0" "1"
226 "0" "1"
312 "0" "1"
332 "0" "1"
397 "0" "1"
298 "0" "1"
299 "0" "1"
342 "0" "1"
272 "0" "1"
321 "0" "1"
265 "0" "1"
260 "0" "1"
288 "0" "1"
267 "0" "1"
340 "0" "1"
307 "0" "1"
262 "0" "1"
240 "0" "1"
189 "0" "1"
292 "0" "1"
221 "0" "1"
249 "0" "3"
275 "0" "1"
313 "0" "1"
297 "0" "1"
121 "0" "1"
301 "0" "1"
240 "0" "1"
192 "0" "1"
315 "0" "1"
273 "0" "3"
136 "0" "1"
220 "0" "1"
263 "0" "1"
299 "0" "1"
222 "0" "1"
268 "0" "3"
349 "0" "1"
286 "0" "1"
373 "0" "1"
269 "0" "2"
283 "0" "1"
396 "0" "1"
268 "0" "1"
357 "0" "1"
272 "0" "1"
436 "0" "1"
314 "0" "1"
329 "0" "1"
278 "0" "1"
290 "0" "1"
228 "0" "1"
219 "0" "1"
327 "0" "1"
192 "0" "3"
364 "0" "1"
243 "0" "1"
271 "0" "1"
126 "0" "1"
418 "0" "1"
296 "0" "1"
280 "0" "1"
218 "0" "1"
320 "0" "1"
191 "0" "2"
271 "0" "1"
309 "0" "1"
269 "0" "1"
333 "0" "1"
354 "0" "3"
247 "0" "1"
269 "0" "2"
240 "0" "1"
364 "0" "1"
293 "0" "1"
266 "0" "1"
189 "0" "1"
334 "0" "1"
251 "0" "1"
293 "0" "1"
264 "0" "1"
215 "0" "2"
296 "0" "1"
351 "0" "1"
295 "0" "1"
243 "0" "1"
382 "0" "1"
279 "0" "1"
236 "0" "1"
363 "0" "1"
303 "0" "1"
38 "0" "1"
328 "0" "1"
295 "0" "1"
351 "0" "1"
214 "0" "3"
329 "0" "1"
324 "0" "1"
288 "0" "1"
263 "0" "2"
324 "0" "1"
341 "0" "1"
268 "0" "1"
298 "0" "1"
237 "0" "1"
323 "0" "1"
223 "0" "1"
277 "0" "1"
316 "0" "1"
268 "0" "1"
329 "0" "1"
184 "0" "1"
164 "0" "1"
195 "0" "1"
310 "0" "1"
291 "0" "1"
22 "0" "1"
307 "0" "1"
246 "0" "1"
212 "0" "1"
288 "0" "1"
329 "0" "1"
368 "0" "3"
240 "0" "1"
259 "0" "1"
246 "0" "3"
235 "0" "1"
164 "0" "1"
240 "0" "1"
245 "0" "1"
373 "0" "1"
404 "0" "1"
282 "0" "1"
201 "0" "1"
347 "0" "1"
261 "0" "1"
234 "0" "3"
301 "0" "1"
256 "0" "1"
239 "0" "1"
321 "0" "3"
227 "0" "1"
355 "0" "1"
176 "0" "3"
258 "0" "1"
294 "0" "3"
368 "0" "1"
363 "0" "1"
321 "0" "1"
463 "0" "3"
215 "0" "1"
232 "0" "1"
342 "0" "1"
224 "0" "1"
237 "0" "3"
251 "0" "1"
261 "0" "1"
299 "0" "1"
365 "0" "1"
320 "0" "1"
214 "0" "1"
301 "0" "1"
363 "0" "1"
258 "0" "1"
339 "0" "1"
318 "0" "1"
293 "0" "1"
413 "0" "1"
292 "0" "1"
319 "0" "1"
322 "0" "1"
179 "0" "2"
264 "0" "1"
260 "0" "1"
180 "0" "3"
312 "0" "1"
262 "0" "1"
346 "0" "1"
293 "0" "2"
229 "0" "2"
243 "0" "1"
313 "0" "1"
390 "0" "1"
348 "0" "1"
336 "0" "1"
231 "0" "3"
255 "0" "1"
213 "0" "1"
259 "0" "1"
270 "0" "1"
339 "0" "1"
186 "0" "1"
283 "0" "1"
257 "0" "1"
287 "0" "1"
371 "0" "1"
268 "0" "1"
157 "0" "1"
293 "0" "1"
267 "0" "1"
331 "0" "1"
241 "0" "1"
268 "0" "1"
258 "0" "3"
451 "0" "1"
371 "0" "1"
327 "0" "1"
236 "0" "1"
131 "0" "1"
275 "0" "1"
267 "0" "3"
269 "0" "1"
180 "0" "3"
220 "0" "1"
283 "0" "1"
262 "0" "1"
130 "0" "1"
308 "0" "1"
218 "0" "1"
350 "0" "1"
445 "0" "3"
297 "0" "1"
354 "0" "1"
278 "0" "1"
250 "0" "1"
258 "0" "1"
332 "0" "1"
238 "0" "1"
337 "0" "1"
286 "0" "1"
193 "0" "1"
185 "0" "1"
276 "0" "1"
319 "0" "1"
154 "0" "1"
301 "0" "1"
256 "0" "1"
314 "0" "1"
439 "0" "1"
257 "0" "1"
269 "0" "1"
57 "0" "1"
224 "0" "1"
252 "0" "3"
497 "0" "1"
239 "0" "1"
299 "0" "1"
246 "0" "1"
255 "0" "1"
485 "0" "1"
307 "0" "1"
348 "0" "1"
374 "0" "1"
271 "0" "2"
250 "0" "1"
110 "0" "1"
243 "0" "1"
263 "0" "1"
326 "0" "1"
393 "0" "1"
302 "0" "3"
207 "0" "1"
396 "0" "1"
376 "0" "1"
143 "0" "1"
295 "0" "1"
266 "0" "2"
209 "0" "1"
268 "0" "1"
276 "0" "1"
225 "0" "1"
233 "0" "1"
335 "0" "1"
289 "0" "1"
66 "0" "1"
184 "0" "1"
354 "0" "1"
322 "0" "1"
189 "0" "1"
258 "0" "2"
293 "0" "1"
312 "0" "1"
221 "0" "1"
314 "0" "1"
312 "0" "2"
245 "0" "1"
269 "0" "2"
273 "0" "1"
313 "0" "1"
376 "0" "1"
306 "0" "1"
255 "0" "2"
344 "0" "1"
320 "0" "1"
318 "0" "1"
252 "0" "1"
314 "0" "1"
367 "0" "1"
226 "0" "1"
307 "0" "1"
220 "0" "2"
291 "0" "2"
246 "0" "1"
133 "0" "1"
233 "0" "1"
480 "0" "1"
329 "0" "1"
317 "0" "1"
257 "0" "1"
195 "0" "1"
356 "0" "1"
305 "0" "1"
293 "0" "1"
352 "0" "1"
303 "0" "1"
216 "0" "2"
217 "0" "1"
247 "0" "1"
253 "0" "1"
244 "0" "3"
246 "0" "1"
251 "0" "1"
129 "0" "1"
255 "0" "1"
227 "0" "1"
249 "0" "1"
289 "0" "1"
211 "0" "1"
349 "0" "1"
299 "0" "1"
349 "0" "1"
231 "0" "1"
412 "0" "1"
165 "0" "3"
403 "0" "1"
324 "0" "1"
323 "0" "1"
259 "0" "1"
358 "0" "1"
192 "0" "1"
359 "0" "1"
398 "0" "1"
200 "0" "1"
262 "0" "1"
125 "0" "2"
285 "0" "1"
347 "0" "1"
307 "0" "1"
191 "0" "1"
260 "0" "1"
173 "0" "2"
305 "0" "1"
272 "0" "1"
172 "0" "3"
254 "0" "1"
221 "0" "1"
308 "0" "1"
271 "0" "1"
234 "0" "1"
327 "0" "1"
224 "0" "1"
319 "0" "1"
256 "0" "1"
48 "0" "2"
483 "0" "3"
300 "0" "3"
270 "0" "1"
326 "0" "1"
