"prec" "pop" "stops" "eth"
1 1720 202 1
1 1368 102 2
1 23854 81 3
2 2596 132 1
2 6844 144 2
2 9379 71 3
3 2092 752 1
3 3633 441 2
3 56304 410 3
4 5699 385 1
4 25489 897 2
4 13001 129 3
5 6265 517 1
5 20971 812 2
5 34674 271 3
6 2105 635 1
6 6110 445 2
6 15152 217 3
7 6054 301 1
7 9075 161 2
7 71036 187 3
8 3060 925 1
8 5168 435 2
8 16222 212 3
9 1747 144 1
9 3919 91 2
9 62949 50 3
10 3104 560 1
10 8307 453 2
10 28617 143 3
11 6613 387 1
11 11310 239 2
11 184345 212 3
12 5209 398 1
12 9158 269 2
12 79761 217 3
13 21822 1056 1
13 37631 1079 2
13 6239 80 3
14 17774 478 1
14 29423 588 2
14 62204 99 3
15 23191 1365 1
15 17640 859 2
15 1683 149 3
16 14072 659 1
16 9142 269 2
16 19494 37 3
17 29510 825 1
17 4560 75 2
17 872 46 3
18 28599 1126 1
18 28898 1118 2
18 1630 115 3
19 57509 1163 1
19 5067 124 2
19 454 24 3
20 15833 470 1
20 58197 963 2
20 7793 133 3
21 6963 243 1
21 74064 1267 2
21 29470 103 3
22 24373 1837 1
22 50209 2129 2
22 1544 64 3
23 8726 840 1
23 31394 1355 2
23 704 139 3
24 31753 1731 1
24 23908 873 2
24 469 18 3
25 53765 1942 1
25 86904 1666 2
25 19290 77 3
26 49265 886 1
26 63458 636 2
26 3025 19 3
27 17685 711 1
27 13264 641 2
27 65982 653 3
28 46669 414 1
28 68975 479 2
28 2775 9 3
29 76262 2392 1
29 22277 390 2
29 23906 106 3
30 17125 946 1
30 38207 1126 2
30 9927 85 3
31 14356 631 1
31 23814 781 2
31 60595 393 3
32 11593 345 1
32 23255 571 2
32 57097 125 3
33 23281 1065 1
33 62266 1692 2
33 30979 209 3
34 21349 1519 1
34 15774 745 2
34 62100 546 3
35 3070 207 1
35 8068 119 2
35 117834 398 3
36 854 118 1
36 11314 298 2
36 120622 773 3
37 20160 733 1
37 5327 58 2
37 68107 206 3
38 4924 321 1
38 18004 824 2
38 116325 663 3
39 144170 2371 1
39 10319 53 2
39 5952 40 3
40 1248 60 1
40 7890 354 2
40 91457 445 3
41 11447 1554 1
41 5192 178 2
41 41555 247 3
42 71994 2179 1
42 21635 334 2
42 58886 166 3
43 83609 1564 1
43 9859 70 2
43 10258 11 3
44 5276 159 1
44 55628 1353 2
44 44260 157 3
45 69295 2705 1
45 14322 233 2
45 598 15 3
46 79195 2353 1
46 61163 983 2
46 19726 107 3
47 10158 522 1
47 13464 366 2
47 23282 113 3
48 77108 1495 1
48 9121 68 2
48 6280 11 3
49 6399 530 1
49 12358 400 2
49 33960 111 3
50 54204 2771 1
50 12141 246 2
50 611 37 3
51 61306 1127 1
51 8153 74 2
51 321 7 3
52 25812 918 1
52 66472 1118 2
52 5863 80 3
53 8721 918 1
53 5480 237 2
53 21672 61 3
54 35213 855 1
54 9008 125 2
54 7713 15 3
55 10809 349 1
55 56145 738 2
55 36679 53 3
56 543 114 1
56 10768 275 2
56 34194 183 3
57 8536 621 1
57 6148 118 2
57 29931 117 3
58 31861 2220 1
58 11642 311 2
58 15239 140 3
59 7333 405 1
59 26551 547 2
59 68244 195 3
60 55388 2500 1
60 21051 388 2
60 6191 53 3
61 612 287 1
61 20799 767 2
61 119687 571 3
62 86130 1400 1
62 17367 117 2
62 61965 118 3
63 21702 675 1
63 18645 331 2
63 59280 242 3
64 15942 817 1
64 18720 274 2
64 78574 260 3
65 2292 386 1
65 29482 1359 2
65 43965 545 3
66 9513 779 1
66 32300 1266 2
66 129433 896 3
67 13400 300 1
67 46998 1898 2
67 23835 232 3
68 2129 323 1
68 7174 204 2
68 84353 582 3
69 1839 354 1
69 10021 373 2
69 79379 540 3
70 100628 2419 1
70 4251 43 2
70 2612 14 3
71 16282 1034 1
71 39395 966 2
71 100927 922 3
72 20583 702 1
72 60782 2467 2
72 38275 391 3
73 24964 2492 1
73 16754 521 2
73 90725 637 3
74 2479 197 1
74 9446 234 2
74 151366 896 3
75 1028 7 1
75 3233 20 2
75 61692 295 3
DRIZZ81
